"동별(1)",동별(2),동별(3),2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",중랑구,상봉1동,10118,23541,11417,12124,23379,11351,12028,162,66,96
"합계",중랑구,상봉2동,12373,20599,9852,10747,20215,9704,10511,384,148,236
"합계",중랑구,중화1동,8980,19225,9424,9801,19037,9358,9679,188,66,122
"합계",중랑구,중화2동,13638,24755,12645,12110,24315,12469,11846,440,176,264
"합계",중랑구,묵1동,14977,34203,16319,17884,33983,16237,17746,220,82,138
"합계",중랑구,묵2동,9281,18616,9066,9550,18354,8964,9390,262,102,160
"합계",중랑구,망우3동,8206,16254,8143,8111,15882,7986,7896,372,157,215
"합계",중랑구,신내1동,14928,38487,18578,19909,38332,18509,19823,155,69,86
"합계",중랑구,신내2동,8950,19974,9468,10506,19891,9444,10447,83,24,59
"합계",중랑구,면목본동,17774,33672,16515,17157,32948,16231,16717,724,284,440
"합계",중랑구,면목3.8동,12867,25131,12435,12696,24698,12247,12451,433,188,245
"합계",중랑구,망우본동,17629,35990,17731,18259,35576,17573,18003,414,158,256
"합계",성북구,소계,197801,441853,210745,231108,429751,206367,223384,12102,4378,7724
"합계",성북구,돈암1동,6053,14481,6730,7751,14375,6691,7684,106,39,67
"합계",성북구,돈암2동,8527,23631,11162,12469,23520,11114,12406,111,48,63
"합계",성북구,안암동,9907,17343,8279,9064,15110,7608,7502,2233,671,1562
"합계",성북구,보문동,8142,16694,7949,8745,16282,7783,8499,412,166,246
"합계",성북구,정릉1동,7343,18098,8636,9462,17861,8550,9311,237,86,151
"합계",성북구,정릉2동,9881,22873,11007,11866,22627,10934,11693,246,73,173
"합계",성북구,정릉3동,8264,16723,8191,8532,15126,7540,7586,1597,651,946
"합계",성북구,정릉4동,10807,24839,11785,13054,24383,11664,12719,456,121,335
